id,codigo,nombre,tipo
1,01,DEPARTAMENTO AMAZONAS,1
2,02,DEPARTAMENTO ANCASH,1
3,03,DEPARTAMENTO APURIMAC,1
4,04,DEPARTAMENTO AREQUIPA,1
5,05,DEPARTAMENTO AYACUCHO,1
6,06,DEPARTAMENTO CAJAMARCA,1
7,07,PROV. CONST. DEL CALLAO,1
8,08,DEPARTAMENTO CUSCO,1
9,09,DEPARTAMENTO HUANCAVELICA,1
10,10,DEPARTAMENTO HUANUCO,1
11,11,DEPARTAMENTO ICA,1
12,12,DEPARTAMENTO JUNIN,1
13,13,DEPARTAMENTO LA LIBERTAD,1
14,14,DEPARTAMENTO LAMBAYEQUE,1
15,15,DEPARTAMENTO LIMA,1
16,16,DEPARTAMENTO LORETO,1
17,17,DEPARTAMENTO MADRE DE DIOS,1
18,18,DEPARTAMENTO MOQUEGUA,1
19,19,DEPARTAMENTO PASCO,1
20,20,DEPARTAMENTO PIURA,1
21,21,DEPARTAMENTO PUNO,1
22,22,DEPARTAMENTO SAN MARTIN,1
23,23,DEPARTAMENTO TACNA,1
24,24,DEPARTAMENTO TUMBES,1
25,25,DEPARTAMENTO UCAYALI,1
26,0101,CHACHAPOYAS,2
27,0102,BAGUA,2
28,0103,BONGARA,2
29,0104,CONDORCANQUI,2
30,0105,LUYA,2
31,0106,RODRIGUEZ DE MENDOZA,2
32,0107,UTCUBAMBA,2
33,0201,HUARAZ,2
34,0202,AIJA,2
35,0203,ANTONIO RAYMONDI,2
36,0204,ASUNCION,2
37,0205,BOLOGNESI,2
38,0206,CARHUAZ,2
39,0207,CARLOS FERMIN FITZCARRALD,2
40,0208,CASMA,2
41,0209,CORONGO,2
42,0210,HUARI,2
43,0211,HUARMEY,2
44,0212,HUAYLAS,2
45,0213,MARISCAL LUZURIAGA,2
46,0214,OCROS,2
47,0215,PALLASCA,2
48,0216,POMABAMBA,2
49,0217,RECUAY,2
50,0218,SANTA,2
51,0219,SIHUAS,2
52,0220,YUNGAY,2
53,0301,ABANCAY,2
54,0302,ANDAHUAYLAS,2
55,0303,ANTABAMBA,2
56,0304,AYMARAES,2
57,0305,COTABAMBAS,2
58,0306,CHINCHEROS,2
59,0307,GRAU,2
60,0401,AREQUIPA,2
61,0402,CAMANA,2
62,0403,CARAVELI,2
63,0404,CASTILLA,2
64,0405,CAYLLOMA,2
65,0406,CONDESUYOS,2
66,0407,ISLAY,2
67,0408,LA UNION,2
68,0501,HUAMANGA,2
69,0502,CANGALLO,2
70,0503,HUANCA SANCOS,2
71,0504,HUANTA,2
72,0505,LA MAR,2
73,0506,LUCANAS,2
74,0507,PARINACOCHAS,2
75,0508,PAUCAR DEL SARA SARA,2
76,0509,SUCRE,2
77,0510,VICTOR FAJARDO,2
